feature,importance
account_balance,0.2536353120614943
amount,0.24869016953471726
age,0.16496154377253594
time_of_day,0.12812458118242434
num_prev_txn,0.08499295460392685
merchant_category_grocery,0.014207115906600589
merchant_category_restaurants,0.013097350838628837
merchant_category_fashion,0.011839720429184747
merchant_category_electronics,0.01136809788025934
country_US,0.0101641486930846
merchant_category_utilities,0.009751365581043558
merchant_category_travel,0.008173999605962982
country_CN,0.0079868072963042
country_GB,0.00792810474321853
country_NG,0.005391562860926557
country_BR,0.005231348481807476
is_foreign_0,0.004311298241035678
country_IN,0.003655012118255254
is_foreign_1,0.0036472919144455384
is_high_risk_merchant_1,0.0011869863206580612
