amount,time_of_day,merchant_category,country,age,account_balance,num_prev_txn,is_foreign,is_high_risk_merchant,fraud_prob,true_label
258.63,7,grocery,IN,79,2522.82,3,0,0,0.37,0
111.54,13,restaurants,US,74,134.75,5,1,0,0.29,0
1.25,21,restaurants,CN,75,1033.58,1,1,0,0.29,0
30.0,9,crypto_exchange,IN,41,2637.19,6,0,1,0.235,0
186.18,18,crypto_exchange,IN,38,4139.08,6,0,1,0.235,0
33.13,6,crypto_exchange,IN,31,1136.55,2,0,1,0.23,0
1.2,21,electronics,US,79,48.57,4,1,0,0.23,0
46.27,3,restaurants,IN,26,2994.06,5,0,0,0.21,0
186.22,14,restaurants,NG,54,3435.91,3,1,0,0.205,0
78.4,15,crypto_exchange,IN,33,2374.79,4,0,1,0.19,0
107.06,13,restaurants,US,71,8.63,1,1,0,0.19,0
120.86,4,utilities,BR,74,1222.53,2,1,0,0.175,0
28.95,1,fashion,US,26,2439.11,2,1,0,0.17,0
575.1,5,electronics,GB,26,3200.98,1,1,0,0.165,0
198.95,3,restaurants,CN,37,5077.73,1,1,0,0.16,0
46.23,8,electronics,US,26,4107.65,3,1,0,0.16,0
123.53,14,electronics,IN,78,9.87,6,0,0,0.16,0
83.07,8,grocery,IN,76,6.13,4,0,0,0.16,0
2.22,4,travel,NG,30,2517.12,1,1,0,0.155,0
152.1,5,grocery,US,22,1029.42,8,1,0,0.145,0
